method,seed,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
greedy_module_sequence,3,0.279762,0.370694,0.345252,0.219700,0.221499,0.090328,0.076567,0.208194,0.088308,0.084131,0.587276,0.541892,-0.465445,0.024008,0.001418,0.001528,0.001379,0.001593,0.000726,0.000226,0.001309,0.000332,0.000535,0.002335,0.002141,0.025024,1344
greedy_module_sequence,4,0.283482,0.370687,0.345390,0.219754,0.222058,0.090342,0.076375,0.207880,0.088236,0.083955,0.587308,0.541923,-0.461402,0.024104,0.001421,0.001524,0.001382,0.001604,0.000720,0.000216,0.001316,0.000333,0.000542,0.002333,0.002145,0.025148,1344
greedy_module_sequence,5,0.282738,0.370646,0.344916,0.219479,0.221712,0.090374,0.076591,0.208081,0.088283,0.084079,0.586718,0.541854,-0.462132,0.024085,0.001424,0.001534,0.001383,0.001570,0.000734,0.000226,0.001319,0.000335,0.000549,0.002332,0.002151,0.025004,1344
greedy_module_sequence,6,0.293899,0.370725,0.345054,0.219783,0.221197,0.090359,0.076563,0.208123,0.088352,0.084061,0.586998,0.541688,-0.451237,0.024364,0.001431,0.001523,0.001385,0.001597,0.000723,0.000221,0.001328,0.000325,0.000534,0.002330,0.002141,0.025412,1344
greedy_module_sequence,7,0.297619,0.370480,0.345036,0.219790,0.220908,0.090325,0.076434,0.207978,0.088319,0.084093,0.586730,0.541391,-0.447223,0.024453,0.001433,0.001515,0.001367,0.001589,0.000731,0.000221,0.001319,0.000329,0.000539,0.002335,0.002159,0.025483,1344
greedy_module_sequence,8,0.297619,0.370769,0.345121,0.219283,0.221356,0.090382,0.076640,0.208112,0.088373,0.084053,0.587223,0.541800,-0.447762,0.024453,0.001421,0.001528,0.001393,0.001577,0.000728,0.000225,0.001331,0.000333,0.000551,0.002332,0.002155,0.025525,1344
greedy_module_sequence,9,0.315476,0.370512,0.345299,0.220036,0.221374,0.090246,0.076390,0.207967,0.088310,0.084018,0.586907,0.541993,-0.429290,0.024854,0.001418,0.001532,0.001374,0.001599,0.000728,0.000224,0.001319,0.000332,0.000551,0.002337,0.002147,0.025893,1344
option_graph_planner,0,0.441964,0.276342,0.261126,0.372599,0.361656,0.087962,0.160900,0.180047,0.083169,0.086093,0.441219,0.406197,-0.071733,0.026561,0.001201,0.001319,0.001233,0.001392,0.000726,0.000270,0.001285,0.000337,0.000541,0.001989,0.001831,0.027201,1344
option_graph_planner,1,0.432292,0.276415,0.261416,0.372342,0.361915,0.088041,0.160913,0.180101,0.083306,0.085819,0.441558,0.406534,-0.081840,0.026495,0.001224,0.001322,0.001206,0.001408,0.000727,0.000280,0.001288,0.000338,0.000543,0.002024,0.001851,0.027254,1344
option_graph_planner,2,0.447917,0.276410,0.261242,0.372833,0.362090,0.087842,0.160799,0.179981,0.083225,0.085844,0.441403,0.406436,-0.065549,0.026596,0.001224,0.001324,0.001223,0.001411,0.000721,0.000279,0.001301,0.000328,0.000543,0.002027,0.001850,0.027247,1344
option_graph_planner,3,0.447173,0.276655,0.261207,0.372534,0.361431,0.087967,0.160739,0.180111,0.083211,0.085812,0.441779,0.406635,-0.066909,0.026592,0.001204,0.001314,0.001230,0.001402,0.000732,0.000270,0.001270,0.000332,0.000546,0.001979,0.001829,0.027350,1344
option_graph_planner,4,0.444940,0.276371,0.261122,0.372125,0.362206,0.087876,0.160885,0.180195,0.083295,0.085866,0.441346,0.406252,-0.068773,0.026579,0.001195,0.001327,0.001192,0.001424,0.000724,0.000270,0.001270,0.000324,0.000560,0.001988,0.001839,0.027367,1344
option_graph_planner,5,0.439732,0.276177,0.261290,0.372640,0.362128,0.087847,0.160581,0.180153,0.083245,0.085757,0.441471,0.406123,-0.073646,0.026547,0.001217,0.001323,0.001228,0.001399,0.000728,0.000279,0.001287,0.000334,0.000562,0.002005,0.001839,0.027447,1344
option_graph_planner,6,0.453125,0.276494,0.261084,0.372458,0.361912,0.087771,0.160507,0.180290,0.083235,0.085769,0.441436,0.406493,-0.060439,0.026624,0.001210,0.001322,0.001221,0.001428,0.000725,0.000271,0.001271,0.000323,0.000554,0.002003,0.001839,0.027117,1344
option_graph_planner,7,0.418155,0.276630,0.261093,0.372484,0.362315,0.087840,0.160885,0.180303,0.083305,0.085725,0.441599,0.406296,-0.095615,0.026381,0.001209,0.001316,0.001221,0.001416,0.000723,0.000282,0.001285,0.000333,0.000544,0.001991,0.001839,0.027163,1344
option_graph_planner,8,0.454613,0.276387,0.261354,0.372299,0.361348,0.087893,0.160695,0.180325,0.083200,0.085827,0.441628,0.406396,-0.059466,0.026631,0.001216,0.001321,0.001213,0.001379,0.000724,0.000271,0.001274,0.000326,0.000544,0.002008,0.001840,0.027319,1344
option_graph_planner,9,0.453125,0.276436,0.261101,0.372922,0.362063,0.087961,0.160782,0.179916,0.083150,0.085782,0.441541,0.406207,-0.060261,0.026624,0.001211,0.001327,0.001230,0.001406,0.000731,0.000275,0.001283,0.000329,0.000546,0.002005,0.001847,0.027399,1344
oracle_basin_composer,0,0.903274,0.032372,0.052917,0.864068,0.843840,0.067232,0.150979,0.094120,0.044457,0.108427,0.041436,0.039296,1.133239,0.015809,0.000728,0.000835,0.000687,0.000792,0.000726,0.000236,0.001146,0.000327,0.000559,0.001224,0.001114,0.016004,1344
oracle_basin_composer,1,0.907738,0.032079,0.052771,0.864189,0.843798,0.067264,0.151028,0.093901,0.044451,0.108607,0.040872,0.038787,1.138131,0.015478,0.000711,0.000817,0.000706,0.000794,0.000733,0.000238,0.001143,0.000327,0.000552,0.001200,0.001091,0.015743,1344
oracle_basin_composer,2,0.910714,0.032130,0.052802,0.864523,0.844275,0.067183,0.151094,0.093761,0.044472,0.108446,0.041252,0.038913,1.141420,0.015251,0.000708,0.000816,0.000710,0.000821,0.000727,0.000239,0.001139,0.000330,0.000535,0.001206,0.001094,0.015491,1344
oracle_basin_composer,3,0.909970,0.032341,0.052572,0.863816,0.843782,0.067296,0.150873,0.094164,0.044583,0.108548,0.041096,0.038908,1.140008,0.015308,0.000708,0.000808,0.000713,0.000813,0.000720,0.000238,0.001149,0.000330,0.000546,0.001190,0.001084,0.015596,1344
