ablation,interpretation,seed,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
full_barrier_certified_energy_composer,all v5 components,0,0.757812,0.069088,0.085226,0.757126,0.736149,0.071165,0.190433,0.111005,0.051257,0.105622,0.102560,0.094973,0.842145,0.042906,0.001874,0.001936,0.001637,0.001725,0.001584,0.000481,0.002529,0.000673,0.001217,0.003082,0.002803,0.043362,384
full_barrier_certified_energy_composer,all v5 components,1,0.812500,0.068943,0.085171,0.757546,0.737083,0.071573,0.191035,0.110715,0.051485,0.105529,0.102408,0.095341,0.896862,0.039090,0.001821,0.001940,0.001644,0.001695,0.001586,0.000485,0.002566,0.000708,0.001176,0.003020,0.002785,0.039628,384
full_barrier_certified_energy_composer,all v5 components,2,0.778646,0.068782,0.085587,0.758177,0.736326,0.071524,0.190690,0.111030,0.051519,0.105788,0.102463,0.095159,0.862707,0.041579,0.001790,0.001903,0.001608,0.001769,0.001572,0.000508,0.002550,0.000701,0.001209,0.002951,0.002680,0.042811,384
full_barrier_certified_energy_composer,all v5 components,3,0.828125,0.068839,0.085582,0.757337,0.736444,0.071357,0.190650,0.110944,0.051505,0.105651,0.102722,0.095145,0.912173,0.037784,0.001851,0.001931,0.001570,0.001717,0.001596,0.000477,0.002541,0.000687,0.001192,0.003040,0.002800,0.039058,384
full_barrier_certified_energy_composer,all v5 components,4,0.807292,0.068467,0.085650,0.756693,0.736765,0.071309,0.191159,0.111051,0.051524,0.105701,0.102433,0.095356,0.891346,0.039502,0.001830,0.001943,0.001584,0.001691,0.001552,0.000510,0.002538,0.000721,0.001247,0.003039,0.002787,0.040536,384
full_barrier_certified_energy_composer,all v5 components,5,0.747396,0.069065,0.085416,0.757795,0.736108,0.071436,0.190683,0.111196,0.051441,0.105858,0.102526,0.095677,0.831216,0.043516,0.001885,0.001908,0.001621,0.001746,0.001601,0.000484,0.002590,0.000711,0.001194,0.003053,0.002829,0.044480,384
full_barrier_certified_energy_composer,all v5 components,6,0.815104,0.069088,0.085487,0.758012,0.735127,0.071250,0.190777,0.111412,0.051817,0.105374,0.103238,0.095446,0.898586,0.038880,0.001854,0.001962,0.001606,0.001862,0.001600,0.000497,0.002519,0.000718,0.001198,0.003097,0.002794,0.039285,384
full_barrier_certified_energy_composer,all v5 components,7,0.796875,0.068848,0.085424,0.757209,0.736591,0.071525,0.190665,0.111327,0.051261,0.105475,0.102499,0.095342,0.880850,0.040293,0.001869,0.001928,0.001621,0.001754,0.001575,0.000494,0.002576,0.000710,0.001169,0.003068,0.002757,0.040550,384
full_barrier_certified_energy_composer,all v5 components,8,0.781250,0.069276,0.085647,0.757083,0.735790,0.071140,0.190826,0.111119,0.051348,0.105394,0.103049,0.095658,0.864825,0.041402,0.001834,0.001957,0.001759,0.001873,0.001614,0.000476,0.002569,0.000720,0.001194,0.003058,0.002783,0.042500,384
full_barrier_certified_energy_composer,all v5 components,9,0.773438,0.068870,0.085059,0.757606,0.736744,0.071421,0.190820,0.111111,0.051680,0.105431,0.102391,0.095037,0.857813,0.041924,0.001889,0.001858,0.001605,0.001754,0.001576,0.000491,0.002528,0.000683,0.001174,0.003038,0.002806,0.041751,384
minus_barrier_height,removes barrier-height term,0,0.731771,0.089442,0.103365,0.758231,0.736133,0.071331,0.190902,0.112555,0.051445,0.105349,0.133011,0.123962,0.782972,0.044371,0.001867,0.001907,0.001646,0.001793,0.001606,0.000486,0.002513,0.000687,0.001201,0.003049,0.002818,0.044084,384
minus_barrier_height,removes barrier-height term,1,0.726562,0.088975,0.104018,0.757325,0.735644,0.071186,0.190973,0.112329,0.051492,0.105399,0.133075,0.124062,0.777422,0.044640,0.001850,0.001933,0.001582,0.001740,0.001602,0.000466,0.002517,0.000717,0.001183,0.003043,0.002826,0.044916,384
minus_barrier_height,removes barrier-height term,2,0.755208,0.089112,0.103913,0.757438,0.735348,0.071492,0.190705,0.112425,0.051508,0.105459,0.132784,0.123585,0.805687,0.043061,0.001859,0.001923,0.001635,0.001804,0.001574,0.000498,0.002560,0.000693,0.001188,0.003046,0.002794,0.043033,384
minus_barrier_height,removes barrier-height term,3,0.765625,0.088907,0.103537,0.757623,0.735599,0.071322,0.190974,0.112225,0.051707,0.105622,0.132573,0.123123,0.816777,0.042425,0.001856,0.001934,0.001622,0.001859,0.001627,0.000503,0.002518,0.000706,0.001183,0.003020,0.002790,0.043374,384
minus_barrier_height,removes barrier-height term,4,0.734375,0.089156,0.103516,0.757053,0.736617,0.071219,0.191049,0.112124,0.051373,0.105719,0.132826,0.124089,0.785732,0.044233,0.001838,0.001910,0.001598,0.001773,0.001585,0.000482,0.002509,0.000709,0.001203,0.003022,0.002745,0.044435,384
minus_barrier_height,removes barrier-height term,5,0.713542,0.088994,0.103774,0.757799,0.736652,0.071341,0.190723,0.112309,0.051647,0.105860,0.132855,0.123784,0.764766,0.045279,0.001828,0.001933,0.001588,0.001813,0.001602,0.000486,0.002541,0.000710,0.001206,0.003060,0.002782,0.045850,384
minus_barrier_height,removes barrier-height term,6,0.763021,0.089129,0.103680,0.757011,0.735693,0.071612,0.190728,0.112366,0.051695,0.105720,0.132745,0.123762,0.813402,0.042587,0.001792,0.001933,0.001684,0.001718,0.001581,0.000494,0.002545,0.000702,0.001204,0.003001,0.002677,0.043265,384
minus_barrier_height,removes barrier-height term,7,0.718750,0.089011,0.103845,0.758127,0.736649,0.071437,0.190801,0.112124,0.051748,0.105902,0.132914,0.123665,0.769912,0.045029,0.001823,0.001887,0.001553,0.001777,0.001559,0.000508,0.002534,0.000687,0.001206,0.002991,0.002717,0.046199,384
minus_barrier_height,removes barrier-height term,8,0.729167,0.088723,0.104353,0.758069,0.736329,0.071328,0.190855,0.112132,0.051334,0.105730,0.132853,0.123555,0.780390,0.044506,0.001804,0.001914,0.001624,0.001817,0.001579,0.000498,0.002523,0.000729,0.001170,0.003068,0.002765,0.044613,384
minus_barrier_height,removes barrier-height term,9,0.765625,0.088390,0.103636,0.757574,0.735924,0.071447,0.190730,0.111959,0.051820,0.105605,0.132131,0.123143,0.817226,0.042425,0.001814,0.001934,0.001528,0.001788,0.001575,0.000504,0.002535,0.000672,0.001172,0.002999,0.002747,0.043395,384
minus_basin_overlap,removes basin-overlap posterior,0,0.765625,0.068609,0.085270,0.686675,0.736172,0.071419,0.190974,0.121983,0.051628,0.105479,0.102607,0.095178,0.823374,0.042425,0.001846,0.001921,0.001626,0.001751,0.001611,0.000497,0.002542,0.000688,0.001221,0.003049,0.002785,0.042630,384
minus_basin_overlap,removes basin-overlap posterior,1,0.742188,0.068683,0.085485,0.687755,0.736416,0.071311,0.190623,0.121930,0.051980,0.105356,0.102376,0.095122,0.800152,0.043809,0.001856,0.001950,0.001624,0.001790,0.001582,0.000485,0.002564,0.000700,0.001202,0.003039,0.002839,0.044986,384
minus_basin_overlap,removes basin-overlap posterior,2,0.718750,0.068946,0.085090,0.687721,0.736345,0.071489,0.190874,0.121780,0.052059,0.105873,0.102732,0.095285,0.776478,0.045029,0.001814,0.001879,0.001605,0.001740,0.001602,0.000498,0.002545,0.000717,0.001166,0.002983,0.002731,0.045625,384
minus_basin_overlap,removes basin-overlap posterior,3,0.736979,0.069174,0.085254,0.687984,0.736123,0.071195,0.191093,0.121380,0.051664,0.105882,0.103131,0.095739,0.795025,0.044094,0.001868,0.001925,0.001737,0.001753,0.001604,0.000468,0.002591,0.000698,0.001203,0.003066,0.002839,0.044641,384
minus_basin_overlap,removes basin-overlap posterior,4,0.736979,0.069257,0.085348,0.687031,0.735714,0.071363,0.190302,0.122055,0.051764,0.105581,0.102914,0.095400,0.794192,0.044094,0.001898,0.001874,0.001640,0.001699,0.001598,0.000465,0.002566,0.000705,0.001202,0.003095,0.002801,0.045016,384
minus_basin_overlap,removes basin-overlap posterior,5,0.705729,0.068760,0.085709,0.687470,0.735248,0.071084,0.190714,0.121475,0.051767,0.105975,0.102915,0.095323,0.763453,0.045640,0.001829,0.001952,0.001662,0.001718,0.001583,0.000483,0.002513,0.000720,0.001241,0.003020,0.002781,0.045952,384
minus_basin_overlap,removes basin-overlap posterior,6,0.742188,0.069168,0.085229,0.687696,0.736551,0.071180,0.190819,0.122066,0.051898,0.105647,0.103290,0.095491,0.799970,0.043809,0.001837,0.001900,0.001552,0.001733,0.001584,0.000518,0.002483,0.000726,0.001182,0.003005,0.002763,0.044828,384
minus_basin_overlap,removes basin-overlap posterior,7,0.710938,0.069792,0.085198,0.687380,0.736093,0.071376,0.190536,0.121747,0.051832,0.105489,0.103675,0.095819,0.768079,0.045401,0.001795,0.001926,0.001665,0.001756,0.001569,0.000478,0.002526,0.000683,0.001188,0.002993,0.002754,0.046443,384
minus_basin_overlap,removes basin-overlap posterior,8,0.752604,0.068760,0.085753,0.687849,0.736776,0.070986,0.190434,0.121158,0.051888,0.105580,0.102759,0.095510,0.811164,0.043215,0.001843,0.001939,0.001590,0.001741,0.001593,0.000502,0.002527,0.000699,0.001189,0.003039,0.002808,0.044334,384
minus_basin_overlap,removes basin-overlap posterior,9,0.716146,0.069214,0.085409,0.687596,0.736699,0.071272,0.190490,0.121728,0.051831,0.105335,0.103017,0.095829,0.774000,0.045155,0.001859,0.001922,0.001696,0.001751,0.001591,0.000479,0.002565,0.000707,0.001176,0.003042,0.002777,0.046388,384
minus_calibration,removes risk calibration,0,0.716146,0.093149,0.109149,0.757715,0.733416,0.076687,0.190821,0.112623,0.060728,0.097056,0.150514,0.137653,0.749799,0.045155,0.001825,0.001928,0.001642,0.001830,0.001603,0.000507,0.002559,0.000697,0.001210,0.003013,0.002755,0.045501,384
minus_calibration,removes risk calibration,1,0.726562,0.093376,0.109320,0.757732,0.734311,0.076796,0.191098,0.112321,0.060725,0.096709,0.150734,0.137829,0.760163,0.044640,0.001856,0.001972,0.001604,0.001841,0.001587,0.000487,0.002481,0.000734,0.001193,0.003098,0.002797,0.045353,384
minus_calibration,removes risk calibration,2,0.742188,0.093166,0.109749,0.757521,0.733781,0.076503,0.190726,0.112543,0.060893,0.096428,0.150808,0.137713,0.775651,0.043809,0.001825,0.001912,0.001620,0.001700,0.001597,0.000483,0.002549,0.000709,0.001188,0.003007,0.002742,0.044752,384
minus_calibration,removes risk calibration,3,0.763021,0.092882,0.109213,0.757077,0.734370,0.076583,0.190470,0.112676,0.060833,0.096553,0.150143,0.137270,0.797133,0.042587,0.001853,0.001911,0.001602,0.001816,0.001589,0.000496,0.002532,0.000715,0.001170,0.003048,0.002778,0.043219,384
minus_calibration,removes risk calibration,4,0.765625,0.092901,0.109367,0.758773,0.734479,0.076330,0.190965,0.112195,0.060937,0.096467,0.150345,0.137341,0.800450,0.042425,0.001821,0.001918,0.001683,0.001732,0.001604,0.000490,0.002491,0.000704,0.001203,0.003003,0.002746,0.043084,384
minus_calibration,removes risk calibration,5,0.742188,0.093107,0.109471,0.757069,0.734300,0.076580,0.191057,0.112599,0.061138,0.097058,0.150927,0.137516,0.775510,0.043809,0.001837,0.001929,0.001644,0.001736,0.001600,0.000501,0.002533,0.000695,0.001213,0.003034,0.002806,0.044976,384
minus_calibration,removes risk calibration,6,0.736979,0.093226,0.109486,0.757047,0.734315,0.076686,0.190792,0.112596,0.060653,0.096941,0.150585,0.137571,0.770421,0.044094,0.001857,0.001942,0.001623,0.001829,0.001589,0.000502,0.002556,0.000721,0.001212,0.003052,0.002803,0.044697,384
minus_calibration,removes risk calibration,7,0.729167,0.093111,0.109130,0.758300,0.734231,0.076863,0.190787,0.112757,0.060833,0.096724,0.150408,0.137658,0.763044,0.044506,0.001815,0.001944,0.001678,0.001775,0.001610,0.000466,0.002553,0.000686,0.001203,0.003023,0.002755,0.044753,384
minus_calibration,removes risk calibration,8,0.736979,0.092881,0.109494,0.757343,0.734359,0.076744,0.190851,0.113180,0.060751,0.096361,0.150497,0.137557,0.770512,0.044094,0.001843,0.001918,0.001518,0.001832,0.001625,0.000534,0.002506,0.000741,0.001201,0.003022,0.002774,0.045059,384
minus_calibration,removes risk calibration,9,0.721354,0.092830,0.109343,0.755705,0.734818,0.076862,0.190462,0.112800,0.060850,0.096946,0.150411,0.137418,0.754702,0.044901,0.001849,0.001959,0.001680,0.001830,0.001582,0.000469,0.002570,0.000672,0.001238,0.003054,0.002791,0.045610,384
minus_contact_mode_guard,removes contact-mode transition guard,0,0.786458,0.087139,0.101466,0.756869,0.736187,0.071219,0.191098,0.112041,0.051582,0.105852,0.129846,0.120818,0.840950,0.041043,0.001853,0.001960,0.001608,0.001791,0.001602,0.000505,0.002560,0.000699,0.001205,0.003075,0.002774,0.041743,384
minus_contact_mode_guard,removes contact-mode transition guard,1,0.768229,0.086787,0.102047,0.757439,0.735582,0.071423,0.190566,0.112576,0.051556,0.105638,0.129685,0.120462,0.822278,0.042260,0.001853,0.002000,0.001645,0.001796,0.001614,0.000486,0.002555,0.000720,0.001170,0.003097,0.002812,0.042993,384
minus_contact_mode_guard,removes contact-mode transition guard,2,0.757812,0.086957,0.101875,0.757632,0.736494,0.071286,0.191022,0.112216,0.051592,0.105645,0.129656,0.120605,0.812340,0.042906,0.001835,0.001911,0.001557,0.001800,0.001585,0.000484,0.002544,0.000710,0.001156,0.003042,0.002778,0.043712,384
minus_contact_mode_guard,removes contact-mode transition guard,3,0.776042,0.086717,0.101825,0.757218,0.736213,0.071051,0.190740,0.112534,0.051545,0.106060,0.129388,0.119955,0.830719,0.041753,0.001864,0.001984,0.001680,0.001731,0.001598,0.000500,0.002525,0.000711,0.001158,0.003111,0.002847,0.042273,384
minus_contact_mode_guard,removes contact-mode transition guard,4,0.765625,0.087123,0.101954,0.757933,0.735872,0.071256,0.190937,0.112363,0.051946,0.105405,0.130321,0.121152,0.819702,0.042425,0.001849,0.001953,0.001593,0.001783,0.001595,0.000497,0.002531,0.000700,0.001161,0.003019,0.002780,0.043142,384
minus_contact_mode_guard,removes contact-mode transition guard,5,0.736979,0.086830,0.101692,0.757884,0.737177,0.071348,0.190787,0.112275,0.051776,0.105518,0.129816,0.120339,0.791931,0.044094,0.001798,0.001905,0.001658,0.001681,0.001588,0.000493,0.002552,0.000709,0.001186,0.002971,0.002754,0.044872,384
minus_contact_mode_guard,removes contact-mode transition guard,6,0.750000,0.087355,0.101890,0.757513,0.735570,0.071102,0.190764,0.112589,0.051749,0.105062,0.129963,0.121273,0.803974,0.043367,0.001882,0.001917,0.001633,0.001713,0.001555,0.000518,0.002542,0.000690,0.001190,0.003089,0.002852,0.044354,384
minus_contact_mode_guard,removes contact-mode transition guard,7,0.765625,0.087115,0.101955,0.757007,0.736032,0.071129,0.191179,0.112336,0.051655,0.105372,0.129754,0.121016,0.819709,0.042425,0.001847,0.001930,0.001725,0.001740,0.001580,0.000496,0.002553,0.000715,0.001195,0.003032,0.002781,0.043690,384
minus_contact_mode_guard,removes contact-mode transition guard,8,0.750000,0.086663,0.101998,0.757815,0.736518,0.071299,0.190848,0.112240,0.051407,0.105549,0.129580,0.120312,0.804877,0.043367,0.001894,0.001936,0.001629,0.001724,0.001599,0.000531,0.002576,0.000687,0.001181,0.003085,0.002830,0.043810,384
minus_contact_mode_guard,removes contact-mode transition guard,9,0.752604,0.087184,0.102163,0.758115,0.736529,0.071077,0.190418,0.112400,0.051941,0.105557,0.130310,0.121260,0.806968,0.043215,0.001841,0.001921,0.001662,0.001713,0.001589,0.000473,0.002548,0.000699,0.001202,0.002996,0.002770,0.044167,384
minus_descent_continuity,removes descent-continuity term,0,0.695312,0.068734,0.085751,0.757145,0.661686,0.071111,0.190868,0.111280,0.051705,0.105321,0.102552,0.095230,0.758305,0.046097,0.001841,0.001937,0.001638,0.001742,0.001589,0.000487,0.002563,0.000700,0.001176,0.003036,0.002807,0.047506,384
minus_descent_continuity,removes descent-continuity term,1,0.736979,0.068996,0.085649,0.758437,0.661466,0.071375,0.190754,0.110932,0.051794,0.105653,0.102458,0.095237,0.799983,0.044094,0.001809,0.001926,0.001642,0.001821,0.001570,0.000495,0.002512,0.000690,0.001192,0.003014,0.002731,0.044660,384
minus_descent_continuity,removes descent-continuity term,2,0.742188,0.069453,0.085569,0.757144,0.661507,0.071233,0.190758,0.111437,0.051673,0.105296,0.103318,0.095752,0.804514,0.043809,0.001870,0.001980,0.001628,0.001787,0.001618,0.000480,0.002554,0.000704,0.001183,0.003087,0.002835,0.044223,384
minus_descent_continuity,removes descent-continuity term,3,0.736979,0.069094,0.084782,0.758136,0.663595,0.071352,0.190852,0.111015,0.051617,0.105562,0.102447,0.095302,0.801182,0.044094,0.001832,0.001951,0.001557,0.001761,0.001606,0.000513,0.002553,0.000709,0.001183,0.003073,0.002789,0.044526,384
minus_descent_continuity,removes descent-continuity term,4,0.716146,0.069507,0.085082,0.757147,0.662802,0.071468,0.190834,0.111313,0.051674,0.105607,0.102769,0.095745,0.778936,0.045155,0.001827,0.001973,0.001618,0.001756,0.001583,0.000486,0.002565,0.000706,0.001183,0.003057,0.002781,0.045797,384
minus_descent_continuity,removes descent-continuity term,5,0.755208,0.069285,0.085409,0.757088,0.662797,0.071523,0.191059,0.111571,0.051492,0.105916,0.102791,0.095736,0.817704,0.043061,0.001820,0.001910,0.001615,0.001745,0.001580,0.000496,0.002522,0.000717,0.001234,0.003035,0.002739,0.044289,384
minus_descent_continuity,removes descent-continuity term,6,0.729167,0.068987,0.085468,0.757034,0.662429,0.071214,0.190810,0.111211,0.051607,0.105424,0.102687,0.095771,0.792326,0.044506,0.001827,0.001946,0.001587,0.001758,0.001553,0.000477,0.002540,0.000698,0.001177,0.003047,0.002759,0.045112,384
minus_descent_continuity,removes descent-continuity term,7,0.713542,0.069140,0.085332,0.757121,0.662594,0.071451,0.190586,0.111238,0.051787,0.105442,0.102707,0.095681,0.776465,0.045279,0.001835,0.001912,0.001637,0.001732,0.001598,0.000493,0.002495,0.000690,0.001195,0.003012,0.002722,0.045980,384
minus_descent_continuity,removes descent-continuity term,8,0.752604,0.069083,0.085335,0.757806,0.662835,0.071107,0.190669,0.111234,0.051629,0.105386,0.102619,0.095444,0.816263,0.043215,0.001849,0.001945,0.001592,0.001730,0.001579,0.000481,0.002517,0.000697,0.001219,0.003066,0.002792,0.043608,384
minus_descent_continuity,removes descent-continuity term,9,0.729167,0.069106,0.085251,0.758481,0.662663,0.071190,0.191258,0.110866,0.051515,0.105604,0.102831,0.095755,0.792990,0.044506,0.001791,0.001949,0.001591,0.001804,0.001606,0.000496,0.002509,0.000680,0.001216,0.002968,0.002742,0.045257,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,0,0.718750,0.099550,0.116679,0.757025,0.732778,0.079800,0.204869,0.113098,0.066626,0.091019,0.167472,0.152361,0.731365,0.045029,0.001814,0.001947,0.001538,0.001840,0.001601,0.000477,0.002521,0.000710,0.001190,0.003024,0.002788,0.045910,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,1,0.763021,0.099230,0.116965,0.757718,0.733141,0.080026,0.204844,0.113099,0.066801,0.091124,0.167414,0.151528,0.775655,0.042587,0.001839,0.001887,0.001560,0.001832,0.001581,0.000484,0.002500,0.000710,0.001209,0.003012,0.002781,0.043085,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,2,0.781250,0.099538,0.116729,0.757154,0.733447,0.079920,0.204896,0.113008,0.067063,0.091123,0.167664,0.152182,0.793729,0.041402,0.001865,0.001908,0.001544,0.001863,0.001596,0.000517,0.002521,0.000705,0.001188,0.003038,0.002815,0.041404,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,3,0.765625,0.099780,0.116322,0.757754,0.732542,0.080063,0.205187,0.112985,0.066773,0.091061,0.167615,0.152240,0.778111,0.042425,0.001814,0.001931,0.001584,0.001763,0.001606,0.000506,0.002586,0.000690,0.001206,0.002991,0.002771,0.042953,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,4,0.773438,0.099260,0.117425,0.757361,0.732115,0.080021,0.205084,0.112755,0.066923,0.090886,0.167635,0.152019,0.785361,0.041924,0.001838,0.001963,0.001541,0.001746,0.001586,0.000497,0.002570,0.000707,0.001199,0.003012,0.002825,0.042492,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,5,0.807292,0.099522,0.116705,0.756572,0.732456,0.080100,0.204900,0.112996,0.066515,0.091051,0.167605,0.152043,0.819476,0.039502,0.001866,0.001896,0.001603,0.001718,0.001611,0.000519,0.002569,0.000694,0.001206,0.003099,0.002780,0.040642,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,6,0.789062,0.099263,0.116726,0.756576,0.732217,0.079905,0.204773,0.113114,0.066919,0.091025,0.167224,0.151723,0.801352,0.040859,0.001831,0.001921,0.001581,0.001745,0.001594,0.000498,0.002557,0.000698,0.001198,0.003041,0.002748,0.041324,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,7,0.799479,0.099694,0.116390,0.757886,0.732943,0.080188,0.204543,0.112856,0.066778,0.091124,0.167863,0.152212,0.812225,0.040100,0.001825,0.001933,0.001659,0.001765,0.001591,0.000498,0.002547,0.000716,0.001193,0.003048,0.002751,0.039801,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,8,0.757812,0.099975,0.116610,0.756710,0.733050,0.079933,0.204666,0.113581,0.066812,0.090992,0.168243,0.152462,0.769695,0.042906,0.001833,0.001933,0.001603,0.001801,0.001593,0.000515,0.002520,0.000684,0.001201,0.003062,0.002767,0.043856,384
minus_fixed_risk_gate,removes fixed-risk acceptance screen,9,0.763021,0.099617,0.117054,0.758053,0.732898,0.079977,0.205126,0.112578,0.066837,0.091247,0.167924,0.152364,0.775466,0.042587,0.001869,0.001934,0.001644,0.001807,0.001596,0.000499,0.002604,0.000708,0.001203,0.003072,0.002821,0.043532,384
minus_high_energy_repair,does not repair high-energy seams,0,0.739583,0.081804,0.085113,0.750249,0.736440,0.071167,0.221180,0.112071,0.051494,0.110238,0.115167,0.107967,0.801629,0.043953,0.001851,0.001952,0.001745,0.001700,0.001601,0.000479,0.002562,0.000686,0.001167,0.003046,0.002784,0.044630,384
minus_high_energy_repair,does not repair high-energy seams,1,0.752604,0.082036,0.084969,0.750364,0.736450,0.071297,0.221653,0.112435,0.051551,0.110405,0.115604,0.108323,0.814119,0.043215,0.001838,0.001929,0.001745,0.001774,0.001597,0.000485,0.002548,0.000702,0.001170,0.002995,0.002798,0.043589,384
minus_high_energy_repair,does not repair high-energy seams,2,0.744792,0.082051,0.085240,0.750589,0.736179,0.070957,0.221557,0.112355,0.051438,0.110369,0.115484,0.108244,0.806531,0.043664,0.001815,0.001927,0.001783,0.001784,0.001569,0.000474,0.002536,0.000706,0.001205,0.003032,0.002761,0.043907,384
minus_high_energy_repair,does not repair high-energy seams,3,0.742188,0.082099,0.085350,0.750154,0.736216,0.071291,0.221364,0.112502,0.051561,0.110505,0.116280,0.108494,0.803233,0.043809,0.001837,0.001944,0.001844,0.001713,0.001574,0.000495,0.002574,0.000729,0.001213,0.003060,0.002800,0.044669,384
minus_high_energy_repair,does not repair high-energy seams,4,0.710938,0.081816,0.085331,0.750293,0.736132,0.071325,0.221350,0.112076,0.051502,0.110403,0.115360,0.108226,0.772483,0.045401,0.001839,0.001891,0.001765,0.001793,0.001589,0.000466,0.002565,0.000701,0.001186,0.003047,0.002775,0.046104,384
minus_high_energy_repair,does not repair high-energy seams,5,0.747396,0.082051,0.085306,0.750895,0.735657,0.071211,0.221212,0.112115,0.051369,0.110973,0.115546,0.108592,0.808906,0.043516,0.001823,0.001941,0.001735,0.001664,0.001567,0.000478,0.002578,0.000697,0.001222,0.003053,0.002748,0.044667,384
